"filename", "language", "PHP", "JavaScript", "SCSS", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\roleandpermission\app\Models\menus.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\wamp64\www\roleandpermission\app\Models\modules.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\wamp64\www\roleandpermission\app\Models\news.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\wamp64\www\roleandpermission\app\Models\newscategory.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\wamp64\www\roleandpermission\app\Models\pages.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\wamp64\www\roleandpermission\app\Models\permissions.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\wamp64\www\roleandpermission\app\Models\statuss.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\wamp64\www\roleandpermission\app\Providers\AppServiceProvider.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 8, 6, 36
"c:\wamp64\www\roleandpermission\bootstrap\app.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\wamp64\www\roleandpermission\bootstrap\providers.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\wamp64\www\roleandpermission\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 80, 0, 1, 81
"c:\wamp64\www\roleandpermission\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 9400, 0, 1, 9401
"c:\wamp64\www\roleandpermission\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"c:\wamp64\www\roleandpermission\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\wamp64\www\roleandpermission\config\cache.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 34, 18, 109
"c:\wamp64\www\roleandpermission\config\database.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 43, 23, 174
"c:\wamp64\www\roleandpermission\config\datatables.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 77, 18, 128
"c:\wamp64\www\roleandpermission\config\file-manager.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 110, 26, 168
"c:\wamp64\www\roleandpermission\config\filesystems.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 32, 16, 88
"c:\wamp64\www\roleandpermission\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
"c:\wamp64\www\roleandpermission\config\mail.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 43, 19, 117
"c:\wamp64\www\roleandpermission\config\modules.php", "PHP", 122, 0, 0, 0, 0, 0, 0, 136, 25, 283
"c:\wamp64\www\roleandpermission\config\permission.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 109, 46, 187
"c:\wamp64\www\roleandpermission\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 44, 17, 113
"c:\wamp64\www\roleandpermission\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 11, 8, 39
"c:\wamp64\www\roleandpermission\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 160, 35, 218
"c:\wamp64\www\roleandpermission\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 14, 6, 45
"c:\wamp64\www\roleandpermission\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 6, 7, 54
"c:\wamp64\www\roleandpermission\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 6, 5, 36
"c:\wamp64\www\roleandpermission\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 6, 6, 58
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_13_053413_create_permission_tables.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 8, 24, 141
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_13_054404_create_products_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_13_115137_create_blog_category_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_13_120157_create_blogs_table.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 1, 7, 42
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_045351_create_newscategory_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_045428_create_news_table.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 6, 5, 45
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_051446_create_pages_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_085742_create_company_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_090430_create_companyaddress_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_120920_add_user_id_to_news_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 5, 30
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_14_121554_add_user_id_to_pages_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_17_074353_create_module_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\roleandpermission\database\migrations\2024_12_30_111048_create_menu_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_02_073605_create_domain_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 6, 5, 39
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_02_101838_create_language_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_03_105540_create_department_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_03_115204_create_designation_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_07_051110_create_status_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\roleandpermission\database\migrations\2025_01_24_121333_create_tests_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\wamp64\www\roleandpermission\database\seeders\CreateAdminUserSeeder.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 3, 8, 33
"c:\wamp64\www\roleandpermission\database\seeders\DatabaseSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\wamp64\www\roleandpermission\database\seeders\PermissionTableSeeder.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 3, 6, 33
"c:\wamp64\www\roleandpermission\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3410, 0, 1, 3411
"c:\wamp64\www\roleandpermission\package.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\wamp64\www\roleandpermission\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\wamp64\www\roleandpermission\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\css\bootstrap-iconpicker.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 9, 12, 61
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\css\bootstrap-iconpicker.min.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 9, 11, 60
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.js", "JavaScript", 0, 26369, 0, 0, 0, 0, 0, 78, 67, 26514
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.min.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 9, 1, 28
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\bootstrap-iconpicker.bundle.min.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 9, 1, 29
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\bootstrap-iconpicker.js", "JavaScript", 0, 462, 0, 0, 0, 0, 0, 34, 55, 551
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\bootstrap-iconpicker.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 9, 1, 11
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1-pro.js", "JavaScript", 0, 2647, 0, 0, 0, 0, 0, 6, 2, 2655
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.js", "JavaScript", 0, 1351, 0, 0, 0, 0, 0, 6, 2, 1359
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\iconset\ionicon2-0-1.js", "JavaScript", 0, 743, 0, 0, 0, 0, 0, 6, 2, 751
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\iconset\materialdesign2-2-0.js", "JavaScript", 0, 828, 0, 0, 0, 0, 0, 6, 2, 836
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\jquery-menu-editor.js", "JavaScript", 0, 1018, 0, 0, 0, 0, 0, 225, 157, 1400
"c:\wamp64\www\roleandpermission\public\bootstrap-iconpicker\js\jquery-menu-editor.min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 9, 0, 12
"c:\wamp64\www\roleandpermission\public\css\Backend\app.css", "CSS", 0, 0, 0, 307, 0, 0, 0, 17, 58, 382
"c:\wamp64\www\roleandpermission\public\css\Backend\blog.css", "CSS", 0, 0, 0, 282, 0, 0, 0, 13, 53, 348
"c:\wamp64\www\roleandpermission\public\css\Backend\company.css", "CSS", 0, 0, 0, 276, 0, 0, 0, 23, 38, 337
"c:\wamp64\www\roleandpermission\public\css\Backend\create.css", "CSS", 0, 0, 0, 336, 0, 0, 0, 9, 43, 388
"c:\wamp64\www\roleandpermission\public\css\Backend\module.css", "CSS", 0, 0, 0, 303, 0, 0, 0, 25, 39, 367
"c:\wamp64\www\roleandpermission\public\css\auth\login.css", "CSS", 0, 0, 0, 111, 0, 0, 0, 0, 16, 127
"c:\wamp64\www\roleandpermission\public\css\auth\register.css", "CSS", 0, 0, 0, 114, 0, 0, 0, 5, 21, 140
"c:\wamp64\www\roleandpermission\public\css\frontend\blogcategory.css", "CSS", 0, 0, 0, 269, 0, 0, 0, 7, 40, 316
"c:\wamp64\www\roleandpermission\public\css\frontend\blogs.css", "CSS", 0, 0, 0, 301, 0, 0, 0, 9, 49, 359
"c:\wamp64\www\roleandpermission\public\css\frontend\footer.css", "CSS", 0, 0, 0, 116, 0, 0, 0, 0, 14, 130
"c:\wamp64\www\roleandpermission\public\css\frontend\header.css", "CSS", 0, 0, 0, 114, 0, 0, 0, 1, 7, 122
"c:\wamp64\www\roleandpermission\public\css\frontend\home.css", "CSS", 0, 0, 0, 276, 0, 0, 0, 7, 46, 329
"c:\wamp64\www\roleandpermission\public\css\frontend\news.css", "CSS", 0, 0, 0, 301, 0, 0, 0, 9, 51, 361
"c:\wamp64\www\roleandpermission\public\css\frontend\particularblog.css", "CSS", 0, 0, 0, 366, 0, 0, 0, 9, 59, 434
"c:\wamp64\www\roleandpermission\public\css\frontend\particularnews.css", "CSS", 0, 0, 0, 366, 0, 0, 0, 9, 59, 434
"c:\wamp64\www\roleandpermission\public\css\welcome.css", "CSS", 0, 0, 0, 68, 0, 0, 0, 1, 11, 80
"c:\wamp64\www\roleandpermission\public\index.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 6, 18
"c:\wamp64\www\roleandpermission\public\js\apexcharts.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 25, 7, 113
"c:\wamp64\www\roleandpermission\public\js\bootstrap.js", "JavaScript", 0, 371, 0, 0, 0, 0, 0, 257, 181, 809
"c:\wamp64\www\roleandpermission\public\js\config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 7, 3, 28
"c:\wamp64\www\roleandpermission\public\js\dashboards-analytics.js", "JavaScript", 0, 637, 0, 0, 0, 0, 0, 16, 10, 663
"c:\wamp64\www\roleandpermission\public\js\helpers.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 21, 4, 101
"c:\wamp64\www\roleandpermission\public\js\jquery.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\roleandpermission\public\js\main.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 24, 20, 119
"c:\wamp64\www\roleandpermission\public\js\menu.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 21, 4, 101
"c:\wamp64\www\roleandpermission\public\js\perfect-scrollbar.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\roleandpermission\public\js\popper.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\roleandpermission\public\vendor\file-manager\css\file-manager.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 7, 1, 10
"c:\wamp64\www\roleandpermission\public\vendor\file-manager\js\file-manager.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 10, 2, 115
"c:\wamp64\www\roleandpermission\resources\css\app.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\wamp64\www\roleandpermission\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\wamp64\www\roleandpermission\resources\js\bootstrap.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 23, 8, 35
"c:\wamp64\www\roleandpermission\resources\sass\_variables.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 2, 2, 8
"c:\wamp64\www\roleandpermission\resources\sass\app.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 3, 3, 9
"c:\wamp64\www\roleandpermission\resources\views\Backend\Citylist\create.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\roleandpermission\resources\views\Backend\Citylist\edit.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\wamp64\www\roleandpermission\resources\views\Backend\Citylist\index.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 7, 88
"c:\wamp64\www\roleandpermission\resources\views\Backend\Countrylist\create.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\wamp64\www\roleandpermission\resources\views\Backend\Countrylist\edit.blade.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\wamp64\www\roleandpermission\resources\views\Backend\Countrylist\index.blade.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 0, 8, 94
"c:\wamp64\www\roleandpermission\resources\views\Backend\Statelist\create.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\roleandpermission\resources\views\Backend\Statelist\edit.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
